frame,arousal,valence
0,-0.14355431497097015,-0.31966033577919006
1,-0.3234142065048218,-0.4762611985206604
2,-0.2742912173271179,-0.4964101016521454
3,-0.14918623864650726,-0.37927642464637756
4,-0.07598133385181427,-0.28798535466194153
5,-0.14634394645690918,-0.2542377710342407
6,-0.1187802255153656,-0.3164291977882385
7,-0.09761399775743484,-0.12265530973672867
8,-0.13503634929656982,-0.12888622283935547
9,-0.12494546175003052,-0.19343844056129456
10,-0.175533264875412,-0.16579237580299377
11,-0.17410220205783844,-0.2067146897315979
12,-0.16211533546447754,-0.1918841004371643
13,-0.20793843269348145,-0.2726413309574127
14,-0.1701861321926117,-0.19961050152778625
15,-0.13563495874404907,-0.1998833268880844
16,-0.17385628819465637,-0.1862456500530243
17,-0.13922612369060516,-0.1600790023803711
18,-0.17504121363162994,-0.21183471381664276
19,-0.14252996444702148,-0.18738462030887604
20,-0.23154354095458984,-0.11999819427728653
21,-0.2399519681930542,-0.14140111207962036
22,-0.21107609570026398,-0.14051347970962524
23,-0.22819122672080994,-0.14695227146148682
24,-0.2706882655620575,-0.1813933253288269
25,-0.2486691176891327,-0.1761138141155243
26,-0.29842641949653625,-0.17007377743721008
27,-0.2905082106590271,-0.15750035643577576
28,-0.27480655908584595,-0.12854903936386108
29,-0.23249545693397522,-0.11064855009317398
30,-0.28713110089302063,-0.1441979706287384
31,-0.20793169736862183,-0.05471955984830856
32,-0.14895105361938477,-0.12974923849105835
33,-0.2170872837305069,-0.09369208663702011
34,-0.2722132205963135,-0.07234106212854385
35,-0.24356770515441895,-0.11207858473062515
36,-0.2796110212802887,-0.08945226669311523
37,-0.21982701122760773,-0.12421611696481705
38,-0.209840327501297,-0.13265249133110046
39,-0.27944546937942505,-0.10716962069272995
40,-0.2961619198322296,-0.12660861015319824
41,-0.20579661428928375,-0.1440947949886322
42,-0.23498521745204926,-0.15357202291488647
43,-0.3189467787742615,-0.10712242871522903
44,-0.2570093274116516,-0.13788405060768127
45,-0.2917987108230591,-0.15826544165611267
46,-0.2172417938709259,-0.10600792616605759
47,-0.2533019483089447,-0.07811439037322998
48,-0.2556501030921936,-0.15192285180091858
49,-0.24239936470985413,-0.11967965960502625
50,-0.3394281566143036,-0.1666603833436966
51,-0.216586172580719,-0.09090649336576462
52,-0.24923954904079437,-0.11934953182935715
53,-0.20994696021080017,-0.13244344294071198
54,-0.20754021406173706,-0.11819279938936234
55,-0.238631010055542,-0.10574718564748764
56,-0.3485524654388428,-0.15780681371688843
57,-0.28979429602622986,-0.12006764858961105
58,-0.24261172115802765,-0.14392194151878357
59,-0.2174500823020935,-0.1138148382306099
60,-0.24693521857261658,-0.17700713872909546
61,-0.2795644998550415,-0.1575031578540802
62,-0.22479373216629028,-0.14898672699928284
63,-0.3016241490840912,-0.13919150829315186
64,-0.2445911467075348,-0.14215520024299622
65,-0.06057178974151611,-0.32894259691238403
66,0.05421704053878784,-0.17497718334197998
67,-0.16096064448356628,-0.24340185523033142
68,-0.13954387605190277,-0.32935142517089844
69,-0.12088801711797714,-0.27263355255126953
70,-0.19416886568069458,-0.2690718173980713
71,-0.2177426815032959,-0.2912701964378357
72,-0.15371043980121613,-0.37209317088127136
73,-0.28703412413597107,-0.5227921605110168
74,-0.007149968296289444,-0.44012629985809326
75,-0.1673688292503357,-0.157481849193573
76,-0.15643057227134705,-0.13826364278793335
77,-0.12815622985363007,-0.19911548495292664
78,-0.10843740403652191,-0.20914915204048157
79,-0.07571153342723846,-0.24645164608955383
80,0.08545204997062683,-0.3740774691104889
81,0.15695258975028992,-0.36274778842926025
82,0.10109268128871918,-0.2652241289615631
83,-0.19554339349269867,-0.21891376376152039
84,-0.2171632945537567,-0.25423404574394226
85,-0.1749299168586731,-0.36477211117744446
86,-0.23957493901252747,-0.413175493478775
87,-0.2707332670688629,-0.317048043012619
88,-0.33340030908584595,-0.35839781165122986
89,-0.2936369776725769,-0.26882585883140564
90,-0.19261866807937622,-0.15664909780025482
91,-0.17785069346427917,-0.08436547219753265
92,-0.16595295071601868,-0.2379125952720642
93,-0.040954552590847015,-0.08857975155115128
94,-0.21382670104503632,-0.239987313747406
95,-0.3394867181777954,-0.2650349736213684
96,-0.15300610661506653,-0.3152182400226593
97,-0.011733822524547577,-0.5375111699104309
98,-0.03974910080432892,-0.4667062759399414
99,-0.06048153340816498,-0.4591565430164337
100,-0.06462863832712173,-0.4904809892177582
101,-0.1798757016658783,-0.2807341516017914
102,-0.11987315118312836,-0.25207191705703735
103,-0.12228482216596603,-0.25808873772621155
104,-0.0829993188381195,-0.2535591721534729
105,-0.5235956907272339,-0.27223819494247437
106,-0.24504375457763672,-0.15163975954055786
107,-0.28803521394729614,-0.14416633546352386
108,-0.3073309361934662,-0.17103800177574158
109,-0.28579196333885193,-0.1796664297580719
110,-0.2929789125919342,-0.19399729371070862
111,-0.22256851196289062,-0.3164290487766266
112,-0.36570262908935547,-0.26118117570877075
113,-0.32256966829299927,-0.3080272376537323
114,-0.009375374764204025,-0.03751649707555771
115,-0.037596315145492554,-0.03367694839835167
116,0.17001797258853912,0.011443354189395905
117,0.08272555470466614,-0.18998180329799652
118,0.001759074628353119,-0.32815778255462646
119,-0.045794375240802765,-0.36907607316970825
120,-0.04268724471330643,-0.42522355914115906
121,-0.09623841941356659,-0.4352416694164276
122,-0.0684148520231247,-0.4080285429954529
123,-0.057330381125211716,-0.470405250787735
124,-0.0674334168434143,-0.44846516847610474
125,-0.08060553669929504,-0.40760502219200134
126,-0.10056642442941666,-0.40632739663124084
127,-0.09232622385025024,-0.42531058192253113
128,-0.1271636188030243,-0.2525624930858612
129,-0.10620586574077606,-0.3181858956813812
130,-0.09080313891172409,-0.3158438503742218
131,-0.12044759839773178,-0.33234140276908875
132,-0.11316399276256561,-0.3152899146080017
133,-0.11033148318529129,-0.2572424113750458
134,0.048949114978313446,-0.016647793352603912
135,-0.0198105126619339,0.009304262697696686
136,-0.012431599199771881,-0.0239897221326828
137,0.050755396485328674,-0.07653271406888962
138,0.08939124643802643,-0.24108105897903442
139,0.02220207452774048,-0.27242031693458557
140,-0.08504588156938553,-0.347423791885376
141,-0.2106836885213852,-0.08366230130195618
142,-0.24468696117401123,-0.08141262829303741
143,-0.25195199251174927,-0.05594795197248459
144,-0.1358160376548767,-0.32827091217041016
145,-0.15152141451835632,-0.2929770350456238
146,-0.16831976175308228,-0.22754648327827454
147,-0.18667927384376526,-0.16112074255943298
148,-0.20398658514022827,-0.10123462975025177
149,-0.17500944435596466,-0.1353273093700409
150,-0.2180267870426178,-0.08381015807390213
151,-0.08376637101173401,-0.1507229059934616
152,-0.043964117765426636,-0.2773713171482086
153,-0.058614443987607956,-0.2925243377685547
154,0.1036234200000763,-0.06499547511339188
155,-0.23577362298965454,-0.012063898146152496
156,-0.26378607749938965,-0.12734383344650269
157,-0.2926137447357178,-0.11032819002866745
158,-0.07161953300237656,-0.2433587908744812
159,-0.01743045449256897,-0.4166145324707031
160,0.05365794897079468,-0.36948952078819275
161,0.02134375274181366,-0.3444131314754486
162,0.006465006619691849,-0.4732775092124939
163,0.04676008224487305,-0.36827775835990906
164,0.03651757538318634,-0.34710052609443665
165,0.07110390067100525,-0.28396448493003845
166,0.03809648007154465,-0.24327123165130615
167,0.0128842294216156,-0.35282623767852783
168,0.07467931509017944,-0.35736870765686035
169,0.10267007350921631,-0.48997026681900024
170,0.07044032961130142,-0.14220835268497467
171,-0.02801734209060669,-0.22590985894203186
172,-0.010310381650924683,-0.3190285563468933
173,-0.12348675727844238,-0.2141704559326172
174,-0.1357806921005249,-0.08370989561080933
175,-0.16122719645500183,-0.016320981085300446
176,-0.1950272023677826,-0.10554128140211105
177,-0.21357198059558868,-0.10905396938323975
178,-0.16468173265457153,-0.2046065479516983
179,0.1021827906370163,-0.2792923152446747
180,0.13310271501541138,-0.19406269490718842
181,0.16564784944057465,-0.2821773290634155
182,0.07166366279125214,-0.29957881569862366
183,-0.012356050312519073,-0.3664257228374481
184,-0.020863011479377747,-0.2800730764865875
185,-0.06543859094381332,-0.21739202737808228
186,-0.12250868231058121,-0.16180415451526642
187,-0.10835672914981842,-0.32494527101516724
188,-0.11072943359613419,-0.30018502473831177
189,-0.07804162800312042,-0.2605626583099365
190,-0.13131321966648102,-0.29734063148498535
191,-0.26079684495925903,-0.16288653016090393
192,-0.2544153928756714,-0.037085242569446564
193,-0.2232159972190857,-0.1261565238237381
194,-0.20452749729156494,-0.0803365483880043
195,-0.19094997644424438,-0.04752974957227707
196,-0.40710222721099854,-0.17197942733764648
197,-0.07707418501377106,-0.3449839949607849
198,-0.02284674346446991,-0.28026169538497925
199,-0.10728869587182999,-0.3045286536216736
200,-0.06303722411394119,-0.35104140639305115
201,-0.07450840622186661,-0.387766569852829
202,-0.040194958448410034,-0.26946529746055603
203,-0.044305942952632904,-0.32197049260139465
204,-0.05055076256394386,-0.31111130118370056
205,-0.04565677046775818,-0.243058443069458
206,-0.06333128362894058,-0.24180835485458374
207,-0.0453999862074852,-0.2493845820426941
208,-0.050111062824726105,-0.2185249626636505
209,-0.0647919774055481,-0.24775490164756775
210,-0.048177190124988556,-0.32474178075790405
211,-0.06429143995046616,-0.21120676398277283
212,-0.08531071245670319,-0.2278834581375122
213,-0.11447202414274216,-0.17338019609451294
214,-0.01638093590736389,-0.11550914496183395
215,-0.05619378387928009,-0.2555270195007324
216,-0.22401228547096252,-0.16651856899261475
