frame,arousal,valence
0,-0.05524943023920059,-0.2284761667251587
1,-0.03172872215509415,-0.2818041145801544
2,-0.03940536826848984,-0.2387334406375885
3,-0.04368050768971443,-0.24618247151374817
4,-0.03911732882261276,-0.2445279359817505
5,-0.04890476167201996,-0.25511905550956726
6,-0.04941525310277939,-0.24729058146476746
7,-0.04903114214539528,-0.2550247609615326
8,-0.03977540507912636,-0.25552648305892944
9,0.03815475106239319,-0.17442592978477478
10,-0.012455694377422333,-0.29078975319862366
11,-0.01261996105313301,-0.24942725896835327
12,-0.011746607720851898,-0.26771435141563416
13,-0.049080029129981995,-0.08392564952373505
14,-0.08250404894351959,-0.12036336958408356
15,-0.08568274974822998,-0.12197652459144592
16,-0.07701516896486282,-0.15516576170921326
17,-0.05892443284392357,-0.20333310961723328
18,-0.05840759724378586,-0.24678891897201538
19,-0.011629782617092133,-0.2976018190383911
20,-0.03173905611038208,-0.21922969818115234
21,-0.040224045515060425,-0.232062429189682
22,-0.0038766376674175262,-0.2955959141254425
23,-0.0033994577825069427,-0.22220733761787415
24,-0.0399990975856781,-0.23447522521018982
25,-0.003538798540830612,-0.26640212535858154
26,0.035277485847473145,-0.1800895631313324
27,-0.014084003865718842,-0.23572289943695068
28,-0.04589225351810455,-0.2656993865966797
29,-0.034190867096185684,-0.2617860436439514
30,0.012417539954185486,-0.2251894772052765
31,0.031631097197532654,-0.2073458433151245
32,0.0485345721244812,-0.21170109510421753
33,-0.03525509685277939,-0.24787363409996033
34,0.010571956634521484,-0.23300990462303162
35,-0.1044352799654007,-0.10657522827386856
36,-0.20134533941745758,-0.12258513271808624
37,-0.07048008590936661,-0.10819555819034576
38,-0.03691721707582474,-0.13479673862457275
39,-0.04943306744098663,-0.11980137228965759
40,-0.04985169693827629,-0.1747734546661377
41,-0.03397081047296524,-0.22085663676261902
42,-0.04024785757064819,-0.2255999743938446
43,-0.046879105269908905,-0.2537326216697693
44,-0.010186441242694855,-0.23022711277008057
45,-0.006090890616178513,-0.22198373079299927
46,0.0016556009650230408,-0.24057134985923767
47,0.03814183920621872,-0.2043437659740448
48,-0.01373651996254921,-0.24962058663368225
49,-0.0161580927670002,-0.22055810689926147
50,-0.012813709676265717,-0.19695821404457092
51,-0.033576615154743195,-0.18234635889530182
52,-0.04505385830998421,-0.16828545928001404
53,-0.02909711003303528,-0.20586448907852173
54,-0.02241186425089836,-0.18350234627723694
55,-0.1869574636220932,-0.20867520570755005
56,-0.15005697309970856,-0.096312515437603
57,-0.1411268711090088,-0.14060600101947784
58,-0.011622343212366104,-0.1772107034921646
59,-0.05185777693986893,-0.24112170934677124
60,-0.035637106746435165,-0.1109398603439331
61,-0.041818179190158844,-0.10571988672018051
62,-0.035214412957429886,-0.12936359643936157
63,-0.04214105010032654,-0.14650848507881165
64,-0.04738948866724968,-0.1332877278327942
65,-0.06263512372970581,-0.12974999845027924
66,-0.051939982920885086,-0.1489797830581665
67,-0.038935862481594086,-0.15883053839206696
68,-0.052351340651512146,-0.14559659361839294
69,-0.04647376760840416,-0.15789982676506042
70,-0.16254201531410217,-0.10383788496255875
71,-0.15133702754974365,-0.07303953915834427
72,-0.14877474308013916,-0.10218121856451035
73,-0.06533405184745789,-0.13238617777824402
74,-0.03393407538533211,-0.17224007844924927
75,-0.06623402237892151,-0.11437560617923737
76,-0.08102039247751236,-0.10704468190670013
77,-0.06294234097003937,-0.10620055347681046
78,-0.0706360936164856,-0.09946290403604507
79,-0.06679695844650269,-0.12812422215938568
80,-0.15870189666748047,-0.06148810684680939
81,-0.14936122298240662,-0.12140842527151108
82,-0.06009645760059357,-0.14826974272727966
83,-0.07812374830245972,-0.12372218817472458
84,-0.058857325464487076,-0.13192562758922577
85,-0.07654621452093124,-0.10072572529315948
86,-0.08318263292312622,-0.12067746371030807
87,-0.07151157408952713,-0.13208872079849243
88,-0.06795240193605423,-0.11692638695240021
89,-0.07301218807697296,-0.09630030393600464
90,-0.17476022243499756,-0.08777038007974625
91,-0.20265895128250122,-0.07734517753124237
92,-0.08014671504497528,-0.12497539073228836
93,-0.07352431118488312,-0.10216457396745682
94,-0.07824156433343887,-0.13342246413230896
95,-0.05567273125052452,-0.18294201791286469
96,-0.08091681450605392,-0.15976007282733917
97,0.006020773202180862,-0.1931166648864746
98,0.002904187887907028,-0.25845375657081604
99,-0.0628197193145752,-0.21105539798736572
100,-0.06822532415390015,-0.18470239639282227
101,-0.0400494746863842,-0.12553435564041138
102,-0.219952791929245,-0.07276427000761032
103,-0.2621671259403229,-0.08891399949789047
104,-0.12647902965545654,-0.0722992867231369
105,-0.11398328840732574,-0.12444672733545303
106,-0.0872216746211052,-0.11511261761188507
107,-0.07485818862915039,-0.11167656630277634
108,-0.05293000489473343,-0.13571861386299133
109,-0.05329094082117081,-0.139561727643013
110,-0.047962088137865067,-0.12837964296340942
111,-0.04689481109380722,-0.13160595297813416
112,-0.13944736123085022,-0.12316667288541794
113,-0.2535080015659332,-0.1219676062464714
114,-0.20471592247486115,-0.207949697971344
115,-0.040288567543029785,-0.11775093525648117
116,-0.047799333930015564,-0.1966027021408081
117,-0.02103981375694275,-0.24145027995109558
118,-0.017904985696077347,-0.20863917469978333
119,-0.003252033144235611,-0.22033119201660156
120,-0.017451629042625427,-0.257612019777298
121,-0.04998002573847771,-0.2735237181186676
122,-0.003201097249984741,-0.2797653079032898
123,0.022169791162014008,-0.19968773424625397
124,0.01382976770401001,-0.22122591733932495
125,0.024982109665870667,-0.19867968559265137
126,0.004419192671775818,-0.20583832263946533
127,-0.025321807712316513,-0.24841377139091492
128,-0.0504130944609642,-0.2497290074825287
129,-0.038751889020204544,-0.25833696126937866
130,0.024282455444335938,-0.2602900266647339
131,0.06773669272661209,-0.1613163948059082
132,0.04703661799430847,-0.20465940237045288
133,0.08052009344100952,-0.136887788772583
134,0.010570287704467773,-0.21275818347930908
135,-0.018424201756715775,-0.23826080560684204
136,-0.02694191038608551,-0.24852600693702698
137,-0.01970851421356201,-0.2684469223022461
138,-0.004782319068908691,-0.23008742928504944
139,-0.03656857833266258,-0.2294471263885498
140,-0.02683492936193943,-0.23147067427635193
141,0.015602625906467438,-0.2072184979915619
142,0.05465199053287506,-0.16559916734695435
143,0.047930121421813965,-0.18652233481407166
144,0.0037976205348968506,-0.2925562560558319
145,-0.006958093494176865,-0.2436922788619995
146,-0.04968491941690445,-0.28100669384002686
147,0.028538763523101807,-0.1705629825592041
148,-0.01916717365384102,-0.26683497428894043
149,0.03194592893123627,-0.2568610906600952
150,-0.0942850336432457,-0.21630501747131348
151,-0.0003448575735092163,-0.23869895935058594
152,-0.0668497234582901,-0.12991492450237274
153,-0.07765300571918488,-0.15267422795295715
154,-0.031352896243333817,-0.16718482971191406
155,-0.04669393599033356,-0.22481182217597961
156,0.00692145898938179,-0.27800247073173523
157,-0.005657464265823364,-0.2394745647907257
158,-0.013821866363286972,-0.2664896547794342
159,-0.023581134155392647,-0.21352925896644592
160,0.017111942172050476,-0.27660253643989563
161,0.011338166892528534,-0.19982072710990906
162,-0.01279681921005249,-0.26780053973197937
163,-0.004772823303937912,-0.2630246579647064
164,-0.01143239438533783,-0.2824707627296448
165,-0.01057397946715355,-0.26364728808403015
166,-0.009370915591716766,-0.2793906629085541
167,-0.012217596173286438,-0.2544582486152649
168,-0.027739789336919785,-0.2419396936893463
169,-0.002160254865884781,-0.2626184821128845
170,-0.020824488252401352,-0.23310741782188416
171,-0.032916102558374405,-0.23542705178260803
172,0.05751442164182663,-0.1591489315032959
173,-0.050612352788448334,-0.23616504669189453
174,-0.05330626666545868,-0.2510437071323395
175,-0.03240789845585823,-0.23256850242614746
176,0.06258608400821686,-0.19218653440475464
177,0.006006907671689987,-0.26502472162246704
178,-0.008153319358825684,-0.2514244019985199
179,-0.026862498372793198,-0.2726800739765167
180,-0.05787632614374161,-0.28968968987464905
181,-0.008333303034305573,-0.2779605984687805
182,-0.025370467454195023,-0.25210386514663696
183,-0.04400485008955002,-0.2683779001235962
184,-0.015121228992938995,-0.24204275012016296
185,-0.003749646246433258,-0.2305472195148468
186,-0.02487127110362053,-0.24382364749908447
187,-0.032718490809202194,-0.2559596598148346
188,-0.039412785321474075,-0.2850566506385803
189,-0.02243080735206604,-0.16750752925872803
190,-0.06068522110581398,-0.2297058403491974
191,-0.04902327060699463,-0.24097982048988342
192,0.07459527254104614,-0.12085922807455063
193,0.08799977600574493,-0.1602063626050949
194,0.06340807676315308,-0.19738435745239258
195,0.0020415447652339935,-0.2456154227256775
196,-0.009538531303405762,-0.24746346473693848
197,0.009655311703681946,-0.21793165802955627
198,0.06326720863580704,-0.18955770134925842
199,0.09451597929000854,-0.14385636150836945
200,0.006891127675771713,-0.26057565212249756
201,-0.012802958488464355,-0.2681933641433716
202,0.035915784537792206,-0.20772552490234375
203,0.07516950368881226,-0.15468725562095642
204,-0.04245723411440849,-0.27452167868614197
205,-0.06359382718801498,-0.2832244336605072
206,-0.051049068570137024,-0.31350913643836975
207,-0.03436494246125221,-0.23363056778907776
208,-0.009312264621257782,-0.22479721903800964
209,-0.08584216237068176,-0.15167927742004395
210,-0.048453688621520996,-0.08642881363630295
211,-0.010516177862882614,-0.1360660195350647
212,-0.016425948590040207,-0.18625019490718842
213,-0.02866522967815399,-0.2280522584915161
214,-0.01833636313676834,-0.2243829369544983
215,0.023078858852386475,-0.23936614394187927
216,-0.00943107157945633,-0.24966993927955627
217,0.0002591274678707123,-0.24932149052619934
218,0.06534477323293686,-0.17422284185886383
219,0.03370630741119385,-0.3208164572715759
220,0.02080366015434265,-0.2274203598499298
221,-0.003961365669965744,-0.22810453176498413
222,-0.005103696137666702,-0.26253923773765564
223,-0.023111045360565186,-0.2779500186443329
224,-0.01996656134724617,-0.2633230686187744
225,-0.026975251734256744,-0.2852322459220886
226,-0.04100588709115982,-0.2477184534072876
227,-0.09802908450365067,-0.19324064254760742
228,-0.17672766745090485,-0.15338605642318726
229,-0.20506229996681213,-0.10109823942184448
230,-0.06927220523357391,-0.15842774510383606
231,-0.07073736190795898,-0.12903805077075958
232,-0.04888341575860977,-0.21537262201309204
233,-0.07354152202606201,-0.19447943568229675
234,-0.04701597988605499,-0.2327204942703247
