frame,arousal,valence
0,0.002897806465625763,-0.26733025908470154
1,0.05886472761631012,-0.22633802890777588
2,0.04846583306789398,-0.17993128299713135
3,-0.02480349689722061,-0.22402438521385193
4,-0.07196017354726791,-0.2151644229888916
5,-0.048773232847452164,-0.21188652515411377
6,-0.05399235337972641,-0.2221566140651703
7,-0.012561365962028503,-0.16161838173866272
8,-0.01849958300590515,-0.14887917041778564
9,-0.06556297093629837,-0.18907177448272705
10,-0.04709002375602722,-0.2049838751554489
11,-0.050654761493206024,-0.18894045054912567
12,-0.1235598772764206,-0.16190505027770996
13,-0.16070608794689178,-0.11121972650289536
14,0.08368217945098877,-0.1838603913784027
15,-0.032880112528800964,-0.28661322593688965
16,0.08543740212917328,-0.22077661752700806
17,-0.0485847145318985,-0.3118806779384613
18,-0.03166157007217407,-0.3498448133468628
19,-0.06894952058792114,-0.3694898784160614
20,-0.029810145497322083,-0.33375269174575806
21,-0.04612018167972565,-0.354227215051651
22,-0.08813123404979706,-0.4175069034099579
23,-0.050393760204315186,-0.38484591245651245
24,-0.08522919565439224,-0.4007629454135895
25,-0.06931792944669724,-0.39148637652397156
26,-0.07170286029577255,-0.3999079763889313
27,-0.07828138023614883,-0.3941721022129059
28,-0.0659555196762085,-0.3886611759662628
29,-0.07462529093027115,-0.3761376738548279
30,-0.044795505702495575,-0.37625858187675476
31,-0.03802789747714996,-0.38745224475860596
32,-0.04812317341566086,-0.39356082677841187
33,-0.0489317923784256,-0.38971492648124695
34,-0.0513002872467041,-0.3359975218772888
35,-0.023616023361682892,-0.359311580657959
36,0.06109975278377533,-0.3029330372810364
37,0.047064006328582764,-0.3441114127635956
38,0.037105441093444824,-0.3301120698451996
39,0.015384301543235779,-0.3730553090572357
40,0.025989830493927002,-0.3664727509021759
41,0.00855235755443573,-0.3457612991333008
42,0.0019522309303283691,-0.39881032705307007
43,0.004478573799133301,-0.33856961131095886
44,-0.026392191648483276,-0.3457483947277069
45,-0.000931955873966217,-0.33344003558158875
46,-0.02645060420036316,-0.36752888560295105
47,0.0025246143341064453,-0.3596300482749939
48,-0.013590089976787567,-0.3598204553127289
49,-0.06110892444849014,-0.3525835871696472
50,-0.019687160849571228,-0.3735503852367401
51,0.07819607853889465,-0.32580891251564026
52,0.0804511159658432,-0.1978062093257904
53,0.03618374466896057,-0.2692202925682068
54,-0.25923097133636475,-0.2646482288837433
55,-0.2938661575317383,-0.23035255074501038
56,-0.14793020486831665,-0.24888521432876587
57,-0.11114339530467987,-0.27288076281547546
58,-0.08755171298980713,-0.20542913675308228
59,-0.057573504745960236,-0.2171095311641693
60,-0.09617887437343597,-0.1914670616388321
61,-0.05995233729481697,-0.20560437440872192
62,-0.07255025207996368,-0.19670283794403076
63,0.03956596553325653,-0.3245619535446167
64,-0.050170205533504486,-0.25032660365104675
65,0.00410810112953186,-0.23916876316070557
66,0.08997255563735962,-0.29237100481987
67,0.06693239510059357,-0.31032049655914307
68,0.024022430181503296,-0.285147100687027
69,-0.07886134833097458,-0.2172793447971344
70,-0.0538252592086792,-0.21550163626670837
71,-0.029133379459381104,-0.24598801136016846
72,0.10351341962814331,-0.34475642442703247
73,0.16470642387866974,-0.29448825120925903
74,0.3219345510005951,-0.24928900599479675
75,0.27060559391975403,-0.20163658261299133
76,0.0911630392074585,-0.195306196808815
77,0.06771866232156754,-0.2079598605632782
78,-0.033913105726242065,-0.23373892903327942
79,-0.12335148453712463,-0.237845778465271
80,-0.1770452857017517,-0.19166743755340576
81,-0.10513763129711151,-0.29202383756637573
82,-0.22705651819705963,-0.25641265511512756
