frame,arousal,valence
0,-0.05926060676574707,-0.11047109961509705
1,-0.11429578065872192,-0.08090522885322571
2,-0.1096956804394722,-0.08147063851356506
3,-0.1539996862411499,-0.07396896183490753
4,-0.16649983823299408,-0.06574355065822601
5,-0.13980408012866974,-0.04286189377307892
6,-0.11811503767967224,-0.07564832270145416
7,-0.09142966568470001,-0.0889483243227005
8,-0.070458322763443,-0.10151940584182739
9,-0.0692787915468216,-0.0762525275349617
10,-0.03998705744743347,-0.06512004137039185
11,-0.12971322238445282,-0.055671755224466324
12,-0.07155121862888336,-0.07992513477802277
13,-0.08495397120714188,-0.0679112896323204
14,-0.050727929919958115,-0.08229170739650726
15,-0.10737428814172745,-0.060895487666130066
16,-0.028971567749977112,-0.11964470148086548
17,-0.06850037723779678,-0.07882539927959442
18,-0.06422445178031921,-0.008377663791179657
19,-0.21228285133838654,-0.057462580502033234
20,-0.30764901638031006,-0.05541957914829254
21,-0.6500117778778076,-0.2313266098499298
22,-0.15311414003372192,-0.06728719174861908
23,-0.06998934596776962,-0.05243294686079025
24,-0.034452181309461594,-0.10316789895296097
25,-0.08040304481983185,-0.16292783617973328
26,0.08168531954288483,-0.07123152911663055
27,0.010760530829429626,-0.043001845479011536
28,-0.16208404302597046,-0.05134209245443344
29,0.006778385490179062,-0.11485965549945831
30,-0.01672855019569397,-0.10435563325881958
31,-0.11805391311645508,-0.03371794521808624
32,-0.18008486926555634,-0.04680686444044113
33,-0.16013756394386292,0.007190816104412079
34,-0.21454794704914093,0.006942965090274811
35,-0.22365343570709229,-0.002489835023880005
36,-0.16901737451553345,0.0001497417688369751
37,-0.1819409430027008,-0.017130933701992035
38,-0.1664426028728485,0.0001244768500328064
39,-0.1170046478509903,-0.0560782328248024
40,0.04552464187145233,-0.0564415343105793
41,0.005861029028892517,-0.006233207881450653
42,-0.11402078717947006,-0.12431524693965912
43,-0.07459387928247452,-0.10650421679019928
44,-0.05286518484354019,-0.11778712272644043
45,-0.059757377952337265,-0.03247712925076485
46,-0.04321598261594772,-0.11588775366544724
47,-0.034326232969760895,-0.09737350046634674
48,0.0023445934057235718,-0.09336896240711212
49,-0.040225062519311905,-0.022163018584251404
50,0.035305947065353394,-0.0723579078912735
51,0.011189058423042297,-0.05656196549534798
52,0.030834704637527466,-0.06085365638136864
53,0.02383572608232498,-0.019202448427677155
54,-0.008725054562091827,0.015235550701618195
55,0.023188188672065735,-0.04039035364985466
56,-0.003762349486351013,-0.05514460802078247
57,-0.015321798622608185,-0.028870239853858948
58,-0.03672969341278076,-0.02190393954515457
59,-0.05425972864031792,-0.015327207744121552
60,0.05903364717960358,0.062595434486866
61,0.01952207088470459,0.0532514825463295
62,-0.03748913109302521,0.00492134690284729
63,-0.053016357123851776,0.001010216772556305
64,-0.026018545031547546,0.017609164118766785
65,-0.014801912009716034,-0.0030041635036468506
66,-0.06005188077688217,-0.016047216951847076
67,-0.1163162812590599,-0.03229009360074997
68,-0.04700268805027008,0.01918628066778183
69,-0.055279847234487534,-0.06976128369569778
70,-0.07147182524204254,-0.027961499989032745
71,-0.0396944023668766,-0.03500356525182724
72,-0.02825353294610977,-0.03144216164946556
73,-0.019827820360660553,-0.022340446710586548
74,0.02937617152929306,-0.0014618858695030212
75,-0.016603756695985794,-0.018521346151828766
76,-0.0024020299315452576,-0.03891037777066231
77,-0.025450125336647034,0.005053400993347168
78,-0.11515308916568756,0.02044692635536194
79,0.031879328191280365,-0.011245287954807281
80,-0.7305883765220642,-0.12113416194915771
81,-0.13764198124408722,-0.12339261174201965
82,-0.0743955448269844,-0.20818239450454712
83,0.19775524735450745,-0.1542874127626419
84,0.05667618662118912,-0.01897653192281723
85,0.18939274549484253,-0.07606424391269684
86,0.09349372982978821,-0.02387794852256775
87,0.26489555835723877,-0.10331015288829803
88,0.003992184996604919,-4.4226646423339844e-05
89,0.2701628804206848,-0.25186583399772644
90,-0.13235686719417572,-0.274679958820343
91,-0.13427914679050446,-0.18992643058300018
92,0.15000475943088531,0.017887726426124573
93,-0.013201531022787094,0.058598317205905914
94,0.13946138322353363,0.004424400627613068
95,0.0015430338680744171,-0.05499332398176193
96,-0.10192637145519257,-0.06297844648361206
97,-0.12869282066822052,-0.007573544979095459
98,-0.06219877675175667,0.0070948973298072815
99,-0.02410576492547989,-0.015559263527393341
100,-0.6322967410087585,-0.2001328021287918
101,-0.6632565259933472,-0.15588131546974182
102,-0.05734926462173462,-0.03852083906531334
103,-0.02756529301404953,-0.06529355049133301
104,-0.28695148229599,-0.12953698635101318
105,-0.07102881371974945,-0.07418527454137802
106,-0.14277637004852295,-0.09291934221982956
107,-0.09641218185424805,0.022882141172885895
108,-0.0315302312374115,0.007388405501842499
109,-0.2081376016139984,-0.003882169723510742
110,-0.12729789316654205,0.049196623265743256
111,-0.2038646936416626,0.01443491131067276
112,-0.09078748524188995,-0.015724480152130127
113,-0.11631811410188675,-0.06413238495588303
114,-0.23259621858596802,-0.07721996307373047
115,-0.14889267086982727,-0.12063057720661163
116,-0.08175699412822723,0.007308706641197205
117,-0.15669500827789307,-0.0558759868144989
118,-0.1797216534614563,-0.03422141075134277
119,-0.1350235790014267,0.014901630580425262
120,-0.15212923288345337,-0.07154743373394012
121,-0.10260647535324097,0.0086650550365448
122,-0.0197688490152359,-0.07845000922679901
123,0.11544571816921234,-0.21396607160568237
124,0.017932742834091187,-0.3074512481689453
125,0.11631648242473602,-0.46183687448501587
126,-0.06724335253238678,-0.12095147371292114
127,-0.07277359068393707,-0.2100827842950821
128,-0.2486436367034912,-0.3898703157901764
129,-0.21867580711841583,-0.17703098058700562
130,-0.1549282670021057,-0.16438236832618713
131,-0.4873010516166687,-0.17386963963508606
132,-0.2300034761428833,-0.1645635962486267
133,-0.2641778588294983,-0.09297686070203781
134,-0.13135460019111633,-0.11030226945877075
135,-0.22563736140727997,-0.07954568415880203
136,-0.11835762858390808,-0.11042563617229462
137,-0.05883762240409851,-0.06159711629152298
138,-0.10311374068260193,-0.0469263456761837
139,-0.09694735705852509,-0.05952628701925278
140,-0.1682409644126892,-0.03071673959493637
